id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
"meta:sotheby's||2018-12-11|group of cultured pearl, enamel and diamond jewels, david webb","GROUP OF CULTURED PEARL, ENAMEL AND DIAMOND JEWELS, DAVID WEBB",other,,,hammer,20000,6000,12000,GBP,2018-12-11,Sotheby's,L18052,,,"Comprising: a bangle of hinged design, each terminal set with a cultured pearl and pavé-set with brilliant-cut diamonds, to a band applied with black enamel, inner circumference approximately 160mm, signed Webb; a pair of ear clips similarly set, each signed Webb; and a ring of bombé design applied with black enamel, set with a cultured pearl between baguette diamonds, size K1/2, signed Webb. — Auction type: Main Sales — Location: London",sothebys-site,2026-08-07
"meta:sotheby's||2018-10-17|pair of cultured pearl and diamond earclips, david webb","PAIR OF CULTURED PEARL AND DIAMOND EARCLIPS, DAVID WEBB",earrings,,,hammer,20000,10000,15000,USD,2018-10-17,Sotheby's,N09953,,,"Featuring two slightly drop-shaped cultured pearls measuring approximately 16.8 and 16.4 mm in diameter, with floral tops set with round diamonds, signed Webb. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2018-10-17|cultured pearl, diamond, ruby, jade and enamel bracelet, david webb","CULTURED PEARL, DIAMOND, RUBY, JADE AND ENAMEL BRACELET, DAVID WEBB",bracelet,,,hammer,20000,10000,15000,USD,2018-10-17,Sotheby's,N09953,,,"The clasp designed as a serpent head applied with white enamel, accented by single and old European-cut diamonds, cabochon rubies, and two pear-shaped jadeite cabochons, completed by a triple strand of cultured pearls measuring approximately 8.2 to 7.8 mm, length 7 inches, signed Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2024-06-10|two gold and diamond bracelets,Two Gold and Diamond Bracelets,bracelet,,,hammer,19200,10000,15000,USD,2024-06-10,Sotheby's,N11520,,,"Of textured gold with an interlace design, the terminals set with old European-cut diamonds. Internal circumferences 6 and 5⅞ inchesSigned Webb18 karat gold and platinum — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2026-06-18|gold cuff-bracelet,Gold Cuff-Bracelet,bracelet,,,hammer,19200,12000,15000,USD,2026-06-18,Sotheby's,N12180,,,The wide cuff of hammered design featuring spiral motifs. Internal circumference approximately 6¼ inchesSigned David Webb18 karat goldGross weight approximately 64 dwts — Auction type: Online Auctions — Location: New York,sothebys-site,2026-08-07
"meta:sotheby's||2026-06-18|chalcedony, emerald, ruby and diamond pendant-brooch","Chalcedony, Emerald, Ruby and Diamond Pendant-Brooch",necklace,,,hammer,19200,10000,15000,USD,2026-06-18,Sotheby's,N12180,,,"Designed as a Maltese cross, composed of carved chalcedony and set with cabochon emeralds and rubies accented by round diamonds. Dimensions approximately 2⅝ x 2⅝ inchesSigned Webb18 karat gold and platinumGross weight approximately 36 dwts — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2026-06-03|diamond ring,Diamond Ring,ring,,,hammer,19200,6000,8000,GBP,2026-06-03,Sotheby's,L26050,,,"Of bombé design, the old brilliant-cut diamond, atop graduating brilliant-cut diamond rays alternating with textured metal bands, to a sculptural wirework mount. Ring size approximately NSigned WebbGross weight approximately 24.0 grams — Auction type: Online Auctions — Location: London",sothebys-site,2026-08-07
"meta:sotheby's||2025-12-11|pair of gold, enamel and ruby pendant-earclips","Pair of Gold, Enamel and Ruby Pendant-Earclips",necklace,,,hammer,19050,5000,7000,USD,2025-12-11,Sotheby's,N11817,,,"Of doorknocker design, applied with white enamel and studded with ruby cabochons. Length approximately 2 inchesSigned Webb18 karat goldGross weight approximately 43 dwtsAccompanied by a signed box — Auction type: Online Auctions — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2024-03-07|gold and diamond bracelet,Gold and Diamond Bracelet,bracelet,,,hammer,19050,20000,30000,USD,2024-03-07,Sotheby's,N11519,,,"Composed of hammered gold links, accented with round diamonds. Length 7 inchesSigned David Webb18 karat gold and platinumGross weight approximately 65 dwts — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2023-06-08|pair of ruby and diamond earclips,Pair of Ruby and Diamond Earclips,earrings,,,hammer,19050,15000,20000,USD,2023-06-08,Sotheby's,N11265,,,"Extraordinary Jewels from the Collection of Constance Barber Mellon David Webb | Pair of Ruby and Diamond Earclips Centering ruby cabochons measuring approximately 13.2 x 11.5 x 7.1 and 12.2 x 12.1 x 7.7 mm, framed by two rows of round diamonds, signed Webb. Fitted with posts. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
